EventNumber Product1_Name Product1_isBoson Product1_mass Product1_px Product1_py Product1_pz Product1_E Product1_pT Product2_Name Product2_isBoson Product2_mass Product2_px Product2_py Product2_pz Product2_E Product2_pT
0 b 0 4.18 1.2 17.6 8.5 20.023 0 b 0 4.18 38.8 4.4 41.5 57.136 0
1 tau+ 0 1.77 42.35 13.77 -2.88 44.6605 0 tau- 0 1.77 34.65 37.23 -13.12 52.5544 0
2 b 0 4.18 9 0.48 -1.24 10.012 0 b 0 4.18 1 5.52 -60.76 61.1614 0
3 b 0 4.18 1.3 22.08 -24.7 33.4182 0 b 0 4.18 24.7 9.92 -70.3 75.2865 0
4 b 0 4.18 -21.12 6.97 -1.35 22.67 0 b 0 4.18 -26.88 10.03 -7.65 29.9855 0
5 b 0 4.18 26.28 5.95 -0.9 27.2823 0 b 0 4.18 9.72 29.05 -8.1 31.9603 0
6 b 0 4.18 -15.98 0.98 78.57 80.2934 0 b 0 4.18 -78.02 48.02 18.43 93.5424 0
7 b 0 4.18 -3.57 -19.71 -19.8 28.4735 0 b 0 4.18 -3.43 -53.29 -70.2 88.3012 0
8 W+ 1 80.4 -66.33 -18.72 -1.19 105.904 0 W- 1 80.4 -32.67 -53.28 -15.81 103.054 0
9 b 0 4.18 16 -0 0 16.537 0 b 0 4.18 0 -82 9 82.5983 0
10 b 0 4.18 10.4 34.96 11.9 38.5933 0 b 0 4.18 41.6 41.04 23.1 62.9756 0
11 b 0 4.18 -4.4 1.04 25.92 26.6413 0 b 0 4.18 -35.6 11.96 6.08 38.2732 0
12 W+ 1 80.4 -50.4 -6.63 7.92 95.4516 0 W- 1 80.4 -19.6 -32.37 64.08 109.555 0
13 b 0 4.18 35.4 -4.62 -15.05 38.9677 0 b 0 4.18 24.6 -72.38 -27.95 81.5027 0
14 b 0 4.18 4.2 -2.5 -5.6 8.52774 0 b 0 4.18 2.8 -47.5 -10.4 48.8848 0
15 b 0 4.18 -12.72 2.64 18.25 22.7882 0 b 0 4.18 -11.28 9.36 54.75 56.8321 0
16 b 0 4.18 -8.69 6.4 -4.73 12.5029 0 b 0 4.18 -2.31 57.6 -38.27 69.3193 0
17 b 0 4.18 -0.19 4.14 28.35 28.9546 0 b 0 4.18 -0.81 4.86 52.65 53.045 0
18 b 0 4.18 19.44 -2.1 19.75 28.1044 0 b 0 4.18 7.56 -67.9 59.25 90.5295 0
19 W+ 1 80.4 2.8 -7.26 -6.6 81.0448 0 W- 1 80.4 2.2 -14.74 -53.4 97.6618 0
20 b 0 4.18 41.28 34.44 -3.96 54.0676 0 b 0 4.18 44.72 49.56 -32.04 74.1627 0
21 b 0 4.18 0.3 -8.96 -12.16 15.6751 0 b 0 4.18 2.7 -55.04 -3.84 55.3977 0
22 b 0 4.18 -6.6 1.35 -39.52 40.3074 0 b 0 4.18 -13.4 7.65 -36.48 39.829 0
23 b 0 4.18 68.6 -0.4 0.73 68.7323 0 b 0 4.18 1.4 -39.6 72.27 82.526 0
24 b 0 4.18 -3.96 0.52 7.8 9.70899 0 b 0 4.18 -5.04 1.48 18.2 19.3986 0
25 b 0 4.18 -26.24 -23.43 -21.58 41.481 0 b 0 4.18 -37.76 -47.57 -61.42 86.479 0
26 b 0 4.18 -8 42.24 -45.54 62.7661 0 b 0 4.18 -72 53.76 -53.46 104.64 0
27 W+ 1 80.4 -6.48 28.29 -17.48 87.2469 0 W- 1 80.4 -74.52 12.71 -58.52 124.914 0
28 b 0 4.18 30.02 -2.3 -9.24 31.7701 0 b 0 4.18 7.98 -20.7 -74.76 78.0942 0
29 b 0 4.18 0.77 -18.72 -55.89 59.0948 0 b 0 4.18 10.23 -59.28 -25.11 65.3204 0
30 W+ 1 80.4 -28.5 0.42 -0.32 85.3035 0 W- 1 80.4 -1.5 41.58 -7.68 90.8531 0
31 W+ 1 80.4 -21.85 29.7 25.92 92.1711 0 W- 1 80.4 -73.15 36.3 55.08 127.148 0
32 b 0 4.18 18.9 -0.58 7.47 20.7562 0 b 0 4.18 2.1 -57.42 75.53 94.9933 0
33 b 0 4.18 -19.78 14.04 0.95 24.6322 0 b 0 4.18 -26.22 12.96 18.05 34.6226 0
34 b 0 4.18 37.84 -12.22 -23.56 46.4084 0 b 0 4.18 50.16 -34.78 -52.44 80.5798 0
35 b 0 4.18 -16.2 3.77 -12.92 21.4721 0 b 0 4.18 -13.8 9.23 -63.08 65.362 0
36 W+ 1 80.4 -33.12 15.66 1.44 88.3652 0 W- 1 80.4 -14.88 42.34 34.56 98.3496 0
37 b 0 4.18 -29.2 9.66 19.24 36.5186 0 b 0 4.18 -43.8 32.34 32.76 63.6789 0
38 b 0 4.18 -16.15 -1.26 -51.35 54.0065 0 b 0 4.18 -78.85 -5.74 -27.65 83.8586 0
39 W+ 1 80.4 16.64 0.36 18.63 84.1918 0 W- 1 80.4 9.36 3.64 50.37 95.4052 0
40 b 0 4.18 -1.36 -1.26 -20.47 20.9745 0 b 0 4.18 -66.64 -12.74 -2.53 68.0226 0
41 b 0 4.18 -67.34 -8.55 -0 68.0092 0 b 0 4.18 -6.66 -86.45 -8 87.1747 0
42 tau+ 0 1.77 -8.64 2.07 1.3 9.15191 0 tau- 0 1.77 -18.36 66.93 0.7 69.4286 0
43 W+ 1 80.4 12.54 -2.4 -9.1 81.9145 0 W- 1 80.4 6.46 -9.6 -55.9 98.6046 0
44 W+ 1 80.4 -40.85 -2.28 0.59 90.2132 0 W- 1 80.4 -2.15 -54.72 58.41 113.467 0
45 W+ 1 80.4 36.96 8.58 0.09 88.9035 0 W- 1 80.4 5.04 69.42 8.91 106.715 0
46 b 0 4.18 -80.19 7.15 -2.64 80.6598 0 b 0 4.18 -18.81 57.85 -30.36 68.1149 0
47 b 0 4.18 -29.14 27.03 -13.32 42.1267 0 b 0 4.18 -64.86 25.97 -60.68 92.6326 0
48 b 0 4.18 -43.12 -2 50.96 66.9158 0 b 0 4.18 -54.88 -48 47.04 86.868 0
49 W+ 1 80.4 -5.53 -11 5.8 81.5437 0 W- 1 80.4 -1.47 -89 52.2 130.813 0
50 b 0 4.18 -22.32 0.42 -0.85 22.7278 0 b 0 4.18 -1.68 20.58 -16.15 26.5453 0
51 tau+ 0 1.77 91.08 -2.16 -2.6 91.1599 0 tau- 0 1.77 7.92 -51.84 -62.4 81.5292 0
